Trip Number,Date,Quadrant,Observer,Start Time,End Time,Adult Newts,Larvae,Egg Masses,Notes
1,3/9/2025,1,Kannon,10:08 AM,10:13 AM,1,4,150,
1,3/9/2025,2,Erin,10:08 AM,10:13 AM,6,0,89,
1,3/9/2025,3,Kannon,9:56 AM,10:01 AM,6,9,131,
1,3/9/2025,4,Erin,9:56 AM,10:01 AM,10,7,24,
2,4/12/2025,1,Kannon,9:47 AM,9:54 AM,12,7,17,kannon doesn't know how tally marks work
2,4/12/2025,2,Erin,9:48 AM,9:54 AM,8,12,39,"wrote ""1"" as quadrant. mistake from quadrant numbering change?"
2,4/12/2025,3,Kannon,10:02 AM,10:08 AM,11,9,25,
2,4/12/2025,4,Erin,10:03 AM,10:11 AM,14,16,6,
3,5/3/2025,1,Army,9:44 AM,9:54 AM,9,2,0,
3,5/3/2025,2,Army,9:57 AM,10:06 AM,8,8,7,
3,5/3/2025,3,Erin,9:45 AM,9:54 AM,18,4,42,20 egg masses found on underside of box not previously counted in other fieldwork sessions (box is inside the quadrant)
3,5/3/2025,4,Erin,9:57 AM,10:06 AM,9,10,0,
3.5,5/3/2025,1,Army,12:01 PM,12:07 PM,8,3,0,second newt count
3.5,5/3/2025,2,Army,12:12 PM,12:18 PM,8,9,3,second newt count
3.5,5/3/2025,3,Erin,12:01 PM,12:07 PM,15,11,42,second newt count; 20 egg masses found on underside of box not previously counted in other fieldwork sessions
3.5,5/3/2025,4,Erin,12:12 PM,12:18 PM,5,13,0,second newt count
4,5/23/2025,1,Kannon,10:49 AM,10:58 AM,6,17,0,
4,5/23/2025,2,Erin,10:49 AM,10:54 AM,9,10,0,
4,5/23/2025,3,Kannon,10:58 AM,11:03 AM,11,9,0,
4,5/23/2025,4,Erin,10:58 AM,11:03 AM,5,9,0,
5,6/13/2025,1,Michael,9:47 AM,9:54 AM,8,15,0,
5,6/13/2025,2,Michael,9:36 AM,9:42 AM,7,14,0,glare covered like half of Q2
5,6/13/2025,3,Erin,9:36 AM,9:44 AM,17,21,0,
5,6/13/2025,4,Erin,9:47 AM,9:56 AM,18,23,0,
6,7/8/2025,1,Michael,9:23 AM,9:31 AM,8,22,0,
6,7/8/2025,2,Michael,9:34 AM,9:43 AM,13,15,0,GLARE
6,7/8/2025,3,Erin,9:23 AM,9:29 AM,3,14,0,glare covered like half of Q3
6,7/8/2025,4,Erin,9:34 AM,9:43 AM,12,41,0,
7,7/29/2025,1,Michael,9:23 AM,9:32 AM,17,23,0,
7,7/29/2025,2,Michael,9:34 AM,9:42 AM,4,13,0,GLARE
7,7/29/2025,3,Erin,9:23 AM,9:30 AM,12,17,0,
7,7/29/2025,4,Erin,9:34 AM,9:43 AM,13,38,0,
8,8/19/2025,1,Michael,9:17 AM,9:24 AM,6,20,0,
8,8/19/2025,2,Michael,9:27 AM,9:34 AM,3,7,0,GLARE
8,8/19/2025,3,Erin,9:17 AM,9:23 AM,9,21,0,GLARE
8,8/19/2025,4,Erin,9:27 AM,9:33 AM,7,17,0,GLARE
9,9/5/2025,1,Michael,9:52 AM,10:00 AM,15,27,0,polarized sunglasses arrived
9,9/5/2025,2,Michael,10:03 AM,10:12 AM,7,16,0,polarized sunglasses arrived
9,9/5/2025,3,Erin,9:52 AM,10:00 AM,9,42,0,polarized sunglasses arrived
9,9/5/2025,4,Erin,10:03 AM,10:12 AM,4,54,0,polarized sunglasses arrived
10,9/26/2025,1,Umi,9:43 AM,9:49 AM,4,6,0,
10,9/26/2025,2,Kannon,9:43 AM,9:48 AM,5,5,0,
10,9/26/2025,3,Erin,9:43 AM,9:49 AM,6,12,0,no polarized glasses- hard to see
10,9/26/2025,4,Erin,9:54 AM,10:00 AM,4,19,0,
11,10/24/2025,1,,,,,,,
11,10/24/2025,2,,,,,,,
11,10/24/2025,3,Erin,9:42 AM,9:48 AM,3,10,0,
11,10/24/2025,4,Erin,9:53 AM,9:48 AM,2,8,0,
